class,text
1,a journey that is as difficult for the audience to take as it is for the protagonist -- yet it 's potentially just as rewarding .
1,"on its own staggeringly unoriginal terms , this gender-bending comedy is generally quite funny ."
0,"unless you 're a fanatic , the best advice is : ` scooby ' do n't ."
0,"the dialogue is cumbersome , the simpering soundtrack and editing more so ."
1,serious and thoughtful .
0,feels less like a change in -lrb- herzog 's -rrb- personal policy than a half-hearted fluke .
1,"these characters are so well established that the gang feels comfortable with taking insane liberties and doing the goofiest stuff out of left field , and i 'm all for that ."
0,director jay russell weighs down his capricious fairy-tale with heavy sentiment and lightweight meaning .
1,sweet and memorable film .
0,"`` sorority boys '' was funnier , and that movie was pretty bad ."
1,"these three films form a remarkably cohesive whole , both visually and thematically , through their consistently sensitive and often exciting treatment of an ignored people ."
0,"the effort is sincere and the results are honest , but the film is so bleak that it 's hardly watchable ."
0,one of the worst movies of the year .
1,what elevates the movie above the run-of-the-mill singles blender is its surreal sense of humor and technological finish .
1,"like kubrick , soderbergh is n't afraid to try any genre and to do it his own way ."
0,"a depraved , incoherent , instantly disposable piece of hackery ."
0,but they do n't fit well together and neither is well told .
1,read my lips is to be viewed and treasured for its extraordinary intelligence and originality as well as its lyrical variations on the game of love .
1,one of the most important and exhilarating forms of animated filmmaking since old walt doodled steamboat willie .
0,"delivers the same old same old , tarted up with latin flava and turned out by hollywood playas ."
0,"it 's dull , spiritless , silly and monotonous : an ultra-loud blast of pointless mayhem , going nowhere fast ."
0,"aside from the fact that the film idiotically uses the website feardotcom.com or the improperly hammy performance from poor stephen rea , the film gets added disdain for the fact that it is nearly impossible to look at or understand ."
0,"too campy to work as straight drama and too violent and sordid to function as comedy , vulgar is , truly and thankfully , a one-of-a-kind work ."
1,"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie ."
1,it certainly wo n't win any awards in the plot department but it sets out with no pretensions and delivers big time .
1,"featuring a dangerously seductive performance from the great daniel auteuil , `` sade '' covers the same period as kaufmann 's `` quills '' with more unsettlingly realistic results ."
0,the threat implied in the title pokémon 4ever is terrifying -- like locusts in a horde these things will keep coming .
1,"the performances are immaculate , with roussillon providing comic relief ."
0,i do n't think this movie loves women at all .
0,this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms .
0,is it a comedy ?
0,"an ugly , pointless , stupid movie ."
1,an encouraging effort from mccrudden
1,"still , as a visual treat , the film is almost unsurpassed ."
0,well-meant but unoriginal .
0,"as underwater ghost stories go , below casts its spooky net out into the atlantic ocean and spits it back , grizzled and charred , somewhere northwest of the bermuda triangle ."
0,it 's so devoid of joy and energy it makes even jason x ... look positively shakesperean by comparison .
0,"despite engaging offbeat touches , knockaround guys rarely seems interested in kicking around a raison d'etre that 's as fresh-faced as its young-guns cast ."
0,"the movie is so resolutely cobbled together out of older movies that it even uses a totally unnecessary prologue , just because it seems obligatory ."
0,"partway through watching this saccharine , easter-egg-colored concoction , you realize that it is made up of three episodes of a rejected tv show ."
1,hard to resist .
1,much of what we see is horrible but it 's also undeniably exceedingly clever .
1,"even if you 've seen `` stomp '' -lrb- the stage show -rrb- , you still have to see this !"
1,"worth a look by those on both sides of the issues , if only for the perspective it offers , one the public rarely sees ."
1,"an admirable , sometimes exceptional film"
0,collapses after 30 minutes into a slap-happy series of adolescent violence .
1,"this fascinating look at israel in ferment feels as immediate as the latest news footage from gaza and , because of its heightened , well-shaped dramas , twice as powerful ."
1,canadian filmmaker gary burns ' inventive and mordantly humorous take on the soullessness of work in the city .
1,a literary detective story is still a detective story and aficionados of the whodunit wo n't be disappointed .
1,that old adage about women being unknowable gets an exhilarating new interpretation in morvern callar .
1,a lot smarter than your average bond .
1,"we know the plot 's a little crazy , but it held my interest from start to finish ."
1,"good film , but very glum ."
0,"this film seems thirsty for reflection , itself taking on adolescent qualities ."
1,"works , it 's thanks to huston 's revelatory performance ."
1,"all in all , it 's a pretty good execution of a story that 's a lot richer than the ones hollywood action screenwriters usually come up with on their own ."
1,i firmly believe that a good video game movie is going to show up soon .
0,"purposefully shocking in its eroticized gore , if unintentionally dull in its lack of poetic frissons ."
0,it 's just plain lurid when it is n't downright silly .
0,` cq may one day be fondly remembered as roman coppola 's brief pretentious period before going on to other films that actually tell a story worth caring about
1,"beautifully shot , delicately scored and powered by a set of heartfelt performances , it 's a lyrical endeavour ."
0,the fetid underbelly of fame has never looked uglier .
1,"one of those movies that catches you up in something bigger than yourself , namely , an archetypal desire to enjoy good trash every now and then ."
0,suffers from unlikable characters and a self-conscious sense of its own quirky hipness .
0,... nothing scary here except for some awful acting and lame special effects .
0,predictably melodramatic .
1,"yes , soar ."
0,"nemesis suffers from a paunchy midsection , several plodding action sequences and a wickedly undramatic central theme ."
0,all too familiar ... basically the sort of cautionary tale that was old when ` angels with dirty faces ' appeared in 1938 .
1,"amid the new populist comedies that underscore the importance of family tradition and familial community , one would be hard-pressed to find a movie with a bigger , fatter heart than barbershop ."
1,"hatfield and hicks make the oddest of couples , and in this sense the movie becomes a study of the gambles of the publishing world , offering a case study that exists apart from all the movie 's political ramifications ."
0,"not counting a few gross-out comedies i 've been trying to forget , this is the first film in a long time that made me want to bolt the theater in the first 10 minutes ."
1,"neither the funniest film that eddie murphy nor robert de niro has ever made , showtime is nevertheless efficiently amusing for a good while ."
1,a painfully funny ode to bad behavior .
1,uses high comedy to evoke surprising poignance .
1,"it really is a shame that more wo n't get an opportunity to embrace small , sweet ` evelyn . '"
1,a surprisingly charming and even witty match for the best of hollywood 's comic-book adaptations .
1,the kind of primal storytelling that george lucas can only dream of .
1,the film has the uncanny ability to right itself precisely when you think it 's in danger of going wrong .
0,this dreadfully earnest inversion of the concubine love triangle eschews the previous film 's historical panorama and roiling pathos for bug-eyed mugging and gay-niche condescension .
0,"i sympathize with the plight of these families , but the movie does n't do a very good job conveying the issue at hand ."
1,"kids five and up will be delighted with the fast , funny , and even touching story ."
1,"anyone who welcomes a dash of the avant-garde fused with their humor should take pleasure in this crazed , joyous romp of a film ."
1,"terrific performances , great to look at , and funny ."
0,rarely has so much money delivered so little entertainment .
1,will warm your heart without making you feel guilty about it .
1,"take any 12-year-old boy to see this picture , and he 'll be your slave for a year ."
0,"shallow , noisy and pretentious ."
0,"priggish , lethargically paced parable of renewal ."
0,a handsome but unfulfilling suspense drama more suited to a quiet evening on pbs than a night out at an amc .
1,"seen in that light , moonlight mile should strike a nerve in many ."
1,robert harmon 's less-is-more approach delivers real bump-in - the-night chills -- his greatest triumph is keeping the creepy crawlies hidden in the film 's thick shadows .
0,"supposedly , pokemon ca n't be killed , but pokemon 4ever practically assures that the pocket monster movie franchise is nearly ready to keel over ."
0,"this is the kind of movie during which you want to bang your head on the seat in front of you , at its cluelessness , at its idiocy , at its utterly misplaced earnestness ."
1,this is christmas future for a lot of baby boomers .
1,a compelling allegory about the last days of germany 's democratic weimar republic .
0,it squanders chan 's uniqueness ; it could even be said to squander jennifer love hewitt !
0,their contrast is neither dramatic nor comic -- it 's just a weird fizzle .
1,"a lot of fun , with an undeniable energy sparked by two actresses in their 50s working at the peak of their powers ."
1,"when it 's this rich and luscious , who cares ?"
1,combine the paranoid claustrophobia of a submarine movie with the unsettling spookiness of the supernatural -- why did n't hollywood think of this sooner ?
1,that 's why sex and lucia is so alluring .
1,"conceptually brilliant ... plays like a living-room war of the worlds , gaining most of its unsettling force from the suggested and the unknown ."
1,the wild thornberrys movie has all the sibling rivalry and general family chaos to which anyone can relate .
1,this is an interesting movie ! ''
0,serving sara does n't serve up a whole lot of laughs .
1,"an oddity , to be sure , but one that you might wind up remembering with a degree of affection rather than revulsion ."
